station_name,gchn_daily_id,latitude,longitude,elevation(m),month,day,temp_min,temp_max,precipitation_mtd
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,1,186R,342S,5R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,2,186R,342S,10R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,3,187R,342S,15R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,4,187R,343S,20R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,5,188R,343S,25R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,6,188R,343S,29R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,7,189R,344S,34R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,8,190R,344S,39R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,9,190R,345S,43R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,10,191R,346S,47R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,11,192R,346S,52R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,12,193R,347S,56R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,13,193R,348S,60R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,14,194R,349S,64R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,15,195R,350S,67R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,16,196R,351S,71R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,17,196R,352S,74R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,18,197R,353S,78R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,19,198R,354S,81R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,20,199R,356S,85R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,21,200R,357S,88R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,22,200R,359S,92R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,23,201R,360S,95R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,24,202R,362S,98R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,25,203R,364S,101R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,26,204R,366S,104R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,27,205R,368S,107R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,28,206R,370S,110R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,29,206R,373S,112R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,30,207R,375S,115R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,1,31,208R,378S,118R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,1,209S,381C,3R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,2,210S,383C,5R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,3,212S,386C,8R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,4,213S,390C,11R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,5,214S,393C,14R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,6,215S,396C,17R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,7,217S,400C,20R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,8,218S,404C,22R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,9,220S,408C,25R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,10,221S,411C,28R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,11,223S,416C,31R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,12,225S,420C,33R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,13,227S,424C,36R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,14,228S,429C,39R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,15,230S,433C,41R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,16,233S,438C,44R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,17,235S,443C,47R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,18,237S,447C,49R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,19,239S,452C,52R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,20,242S,457C,55R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,21,244S,462C,58R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,22,247S,467C,61R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,23,249S,472C,64R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,24,252S,478C,68R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,25,255S,483C,71R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,26,258S,488C,74R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,27,260S,493C,77R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,28,263S,498C,80R
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,29,265S,500C,-9999
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,30,-8888,-8888,-8888
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,2,31,-8888,-8888,-8888
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,1,266R,503C,3S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,2,269R,508C,7S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,3,272R,513C,10S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,4,275R,518C,13S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,5,278R,523C,16S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,6,280R,527C,20S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,7,283R,532C,23S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,8,286R,536C,26S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,9,289R,541C,29S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,10,292R,545C,32S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,11,294R,549C,36S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,12,297R,554C,39S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,13,299R,557C,43S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,14,302R,561C,46S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,15,304R,565C,50S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,16,307R,569C,53S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,17,309R,572C,57S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,18,311R,575C,60S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,19,313R,579C,64S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,20,315R,582C,67S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,21,317R,585C,70S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,22,319R,588C,73S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,23,321R,590C,76S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,24,323R,593C,79S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,25,324R,596C,82S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,26,326R,598C,86S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,27,328R,600C,89S
OR ONTARIO MUNI AP,USW00024162,44.0206,-117.0128,667.5,3,28,329R,603C,92S
